Lift Capacity,Number of floors,Number of lifts,Lift speed,Lift Strategy,Call Strategy,Call Frequency,Lift Stop Time,Usage Rate
15,176,25,15,2,1,142,3,medio
7,99,14,11,0,0,106,2,alto
14,72,8,11,1,0,90,2,alto
15,100,18,12,2,0,117,1,medio
13,135,27,12,0,0,122,1,baixo
7,117,17,14,2,1,190,1,baixo
12,170,31,17,1,1,150,4,medio
6,145,23,11,0,1,109,1,alto
9,163,24,15,1,0,184,2,baixo
13,116,20,14,1,1,63,1,medio
6,108,13,12,2,0,172,2,baixo
6,181,33,14,2,1,32,2,medio
7,151,20,16,1,1,160,4,medio
8,102,16,11,1,0,29,2,baixo
13,159,19,17,0,1,47,3,alto
9,146,18,13,1,0,145,1,medio
12,119,12,11,1,1,77,1,alto
13,149,17,15,1,0,174,2,medio
9,155,27,16,1,1,134,3,alto
15,158,27,13,0,1,149,2,medio
9,106,17,12,0,0,75,3,medio
11,179,22,16,0,1,132,2,alto
11,82,12,11,2,0,104,2,alto
8,101,10,13,1,1,36,2,alto
15,120,15,12,0,0,170,2,baixo
8,199,23,14,0,0,59,2,baixo
5,117,14,10,2,1,165,2,medio
6,128,13,12,1,0,110,1,alto
8,67,8,9,1,1,51,2,alto
12,187,29,16,1,1,86,1,alto
7,104,17,11,1,0,153,2,baixo
10,160,29,15,0,1,172,1,medio
9,103,15,13,1,0,168,1,medio
9,163,29,12,1,1,184,2,medio
8,134,21,14,1,1,163,3,baixo
11,161,17,17,0,0,61,1,alto
15,170,33,15,0,1,112,2,medio
13,69,7,10,0,0,27,1,medio
9,57,10,10,0,1,49,1,baixo
13,107,21,12,1,1,61,3,baixo
7,173,34,16,1,0,176,4,baixo
9,178,24,18,1,1,56,2,medio
9,198,22,13,1,0,110,1,alto
6,134,18,15,2,1,74,2,alto
6,179,30,13,0,1,32,1,alto
12,63,6,9,1,1,26,1,medio
12,132,20,11,1,0,73,2,medio
15,155,25,16,2,1,194,1,medio
10,126,20,14,0,0,118,1,medio
13,117,11,12,1,1,60,3,alto
8,159,25,13,0,1,94,2,alto
14,145,26,14,1,1,186,1,alto
5,78,7,11,2,1,46,1,alto
10,105,11,13,1,1,62,3,alto
10,200,34,18,1,0,134,1,medio
12,53,7,9,0,1,43,1,alto
13,85,10,9,1,1,130,2,medio
8,156,30,17,2,0,157,4,baixo
6,55,10,10,2,0,54,2,alto
12,136,26,14,2,0,190,1,baixo
5,83,14,11,1,1,130,2,baixo
12,184,24,17,0,1,149,2,medio
10,89,13,11,0,1,79,2,alto
6,172,21,15,2,1,98,3,alto
11,88,12,9,2,1,151,2,medio
8,170,25,18,2,1,170,1,alto
10,184,27,13,1,0,194,2,baixo
11,55,11,9,0,1,91,2,medio
11,61,8,9,1,0,198,2,baixo
15,73,11,11,0,1,126,2,medio
5,124,20,15,1,1,159,1,medio
7,124,21,14,1,1,148,2,medio
5,186,29,19,1,1,195,4,medio
5,183,32,16,1,1,49,1,medio
8,73,14,10,2,1,161,1,baixo
6,63,10,10,1,0,103,2,medio
6,82,16,9,1,0,131,2,baixo
11,72,8,9,1,0,36,1,medio
6,148,28,16,1,1,178,2,medio
5,99,18,10,2,0,118,2,baixo
10,51,8,8,2,1,52,2,alto
6,173,19,15,1,1,53,2,medio
9,130,23,14,0,0,57,2,baixo
11,106,10,12,2,0,140,1,alto
6,54,8,9,0,1,75,2,alto
13,174,19,12,2,1,39,1,baixo
7,189,24,14,2,0,177,3,baixo
15,165,31,16,2,1,115,3,alto
13,176,30,16,0,1,122,4,alto
11,61,6,10,2,1,163,1,medio
8,67,7,10,2,0,155,1,alto
12,189,32,19,0,0,102,1,baixo
8,177,20,17,0,1,172,2,alto
10,115,18,14,0,0,135,2,medio
12,71,13,11,0,0,200,1,baixo
11,63,11,9,1,1,73,1,medio
6,177,19,13,0,0,156,1,medio
15,107,16,11,0,0,32,2,baixo
9,126,13,14,0,1,57,1,alto
12,149,20,14,0,1,182,1,medio
11,85,15,9,0,0,183,1,baixo
7,80,8,12,1,0,178,2,medio
10,109,20,11,1,0,65,2,baixo
12,96,12,12,0,0,61,2,alto
13,73,12,11,0,0,190,1,baixo
9,197,28,19,2,1,129,2,alto
5,116,17,10,0,0,178,2,baixo
13,105,20,11,0,1,95,1,medio
13,88,11,9,0,1,198,1,baixo
10,66,11,9,0,0,117,2,baixo
12,83,12,12,2,0,146,2,medio
8,148,25,14,0,0,178,1,baixo
15,182,25,17,2,1,105,1,alto
6,133,26,12,0,1,156,2,alto
14,61,12,11,0,1,109,1,medio
15,59,10,9,2,1,88,1,medio
7,119,22,14,2,1,179,1,medio
15,91,14,10,1,1,37,2,baixo
10,50,9,10,1,0,164,1,baixo
6,175,19,15,0,0,144,3,medio
14,179,23,14,2,0,164,1,baixo
6,128,23,13,1,1,145,3,medio
11,155,23,15,0,0,47,2,baixo
10,68,13,10,0,0,103,2,medio
9,167,29,15,1,1,145,3,medio
